highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_day_click,total_click,befor_modulopen_click,after_modulopen_click,resource_sum_click,oucontent_sum_click,url_sum_click,homepage_sum_click,subpage_sum_click,glossary_sum_click,forumng_sum_click,oucollaborate_sum_click,dataplus_sum_click,quiz_sum_click,ouelluminate_sum_click,sharedsubpage_sum_click,questionnaire_sum_click,page_sum_click,externalquiz_sum_click,ouwiki_sum_click,dualpane_sum_click,repeatactivity_sum_click,folder_sum_click,htmlactivity_sum_click,gender_F,gender_M,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region
2,10,1,3.9115755744828884,1.0668344311865514,1,1,-0.6543209771303264,-0.6140156153411301,-0.4358684895541676,-0.6053114489151714,-0.4493159845007419,-0.5862700863661626,-0.39556323547445865,-0.5422202917137907,-0.6484057058814554,-0.08118194611755394,-0.16486152623763384,-0.3400183478272093,-0.23320431257894017,-0.4341513622077966,-0.17044526605688348,-0.058861338523594445,-0.3161272873396755,-0.38138798828599396,-0.2648630218867214,-0.345670678352171,-0.25497556513690345,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,10,1,-0.33706381245253675,0.3044845724318147,0,4,1.6461474728244931,1.868905363772818,-0.0014517780456842519,1.9483150640367723,0.13284747339479544,2.887492057569142,0.535016254732862,0.8548909059320379,1.7962869999673226,-0.08118194611755394,0.1159613740001362,-0.3400183478272093,1.47461525313201,1.3702484315039598,0.08795784688755336,-0.058861338523594445,0.10374366918186946,2.3931195190770085,-0.2648630218867214,-0.09644628152725426,1.1618111896233334,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,4,2,-0.33706381245253675,-0.45786528632292206,0,4,2.0521124934047554,2.722974214301565,5.074364535369227,2.433880885990271,0.7576082574778111,1.865261221159671,4.197296829097156,2.663848941886161,1.0181517276796161,-0.028164887335014627,4.316244998415371,-0.3400183478272093,3.0401165217003814,-0.5159737872209789,-0.17044526605688348,-0.058861338523594445,-0.3161272873396755,-0.38138798828599396,-0.2648630218867214,-0.345670678352171,-0.25497556513690345,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,1,2,-0.33706381245253675,-0.45786528632292206,0,3,1.510825799297739,1.9091311321594961,-0.3672763772107229,2.0194179440975475,1.1551833018942754,-0.5148810086377152,-0.24546976931198755,1.3586112697091053,1.4838074811746216,-0.08118194611755394,1.556255512642932,-0.15897977310568345,-0.23320431257894017,4.328775062243761,-0.17044526605688348,-0.058861338523594445,-0.3161272873396755,-0.034574549865618635,-0.2648630218867214,-0.345670678352171,-0.25497556513690345,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,6,1,-0.33706381245253675,-0.45786528632292206,1,3,-0.3836776300768182,-0.28812859319398365,-0.0014517780456842519,-0.300237553269794,0.23224123449891157,-0.5331080072066805,0.6851097208953331,-0.06067629615332369,-0.29303684137210917,-0.054673416726284285,0.16247805072663798,-0.15897977310568345,-0.23320431257894017,-0.3544821589054875,-0.17044526605688348,-0.058861338523594445,-0.3161272873396755,-0.38138798828599396,-0.2648630218867214,-0.345670678352171,-0.25497556513690345,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,9,1,-0.33706381245253675,1.0668344311865514,0,1,-0.5189993036035724,-0.5988580794273094,-0.47397521863385916,-0.586472224283684,-0.37832044085494465,-0.42678384888771626,-0.5756753948694239,-0.4661870292568749,-0.3665614340292153,-0.08118194611755394,-0.3612652724161969,-0.3400183478272093,-0.23320431257894017,-0.5116673437992324,-0.17044526605688348,-0.058861338523594445,-0.3161272873396755,-0.034574549865618635,-0.2648630218867214,-0.345670678352171,-0.25497556513690345,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2,1,-0.33706381245253675,-0.45786528632292206,0,3,-0.5189993036035724,-0.25548159276421584,-0.5120819477135508,-0.22548837166744062,-0.06594004881343682,0.11243152544417402,-0.2754884625444818,-0.24442334709087032,-0.6545327552695476,-0.08118194611755394,-0.3543739129011596,0.022058801615842394,-0.23320431257894017,-0.3501757154837411,-0.17044526605688348,-0.058861338523594445,-0.3161272873396755,-0.38138798828599396,-0.2648630218867214,0.7531823440122347,0.09922112355315575,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,9,1,-0.33706381245253675,-0.45786528632292206,0,1,-0.3836776300768182,-0.5790366863092361,-0.42824714373822936,-0.5694561504229856,-0.08013915754259626,-0.5862700863661626,0.535016254732862,-0.4598509240521319,-0.22563929810309527,-0.08118194611755394,-0.3681566319312342,-0.3400183478272093,-0.23320431257894017,-0.3781675977250929,-0.17044526605688348,-0.058861338523594445,-0.3161272873396755,-0.38138798828599396,-0.2648630218867214,-0.345670678352171,-0.25497556513690345,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,2,-0.33706381245253675,0.3044845724318147,0,1,0.15760906403019814,-0.3161117364194989,2.627912528453031,-0.5390703042431672,-0.29312578847998794,-0.2748921941463387,-0.21545107607949335,-0.3584732407762441,-0.22563929810309527,-0.08118194611755394,0.11251569424261755,-0.3400183478272093,-0.23320431257894017,-0.4621432444491484,0.4755625163042086,-0.058861338523594445,-0.3161272873396755,0.4856456077649443,-0.2648630218867214,-0.3003571516567316,-0.25497556513690345,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,5,1,-0.33706381245253675,-1.2202151450776588,0,2,-0.7896426506570805,-0.638500865663456,-0.5578100226091806,-0.621112088928677,-0.5345106368756986,-0.3872920186549581,-0.5456567016369297,-0.6214216067730781,-0.7035491503742849,-0.08118194611755394,-0.4629128252629971,-0.3400183478272093,-0.23320431257894017,-0.33725638521850176,-0.17044526605688348,-0.058861338523594445,-0.3161272873396755,-0.38138798828599396,-0.2648630218867214,-0.345670678352171,-0.25497556513690345,-0.010930212951952166,-0.22907900404607154,-0.21907963356363638,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
